track_id,track_name,artist_name,year,popularity,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms,lead_artist
0OA00aPt3BV10qeMIs3meW,Big Dawgs,"Hanumankind, Kalmi",2024,93,180.098,0.464,0.745,0.262,0.0235,0.363,0.161,0.0,190667.0,Hanumankind
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020,91,171.005,0.514,0.73,0.334,0.00146,0.0897,0.0598,9.54e-05,200040.0,The Weeknd
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",2016,91,186.003,0.679,0.587,0.486,0.141,0.137,0.276,6.35e-06,230453.0,The Weeknd
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,2022,89,97.008,0.637,0.643,0.533,0.13,0.142,0.0519,1.8e-06,200690.0,Taylor Swift
4R2kfaDFhslZEMJqAFNpdd,cardigan,Taylor Swift,2020,89,130.033,0.613,0.581,0.551,0.537,0.25,0.0424,0.000345,239560.0,Taylor Swift
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,2024,88,165.004,0.744,0.7,0.602,0.189,0.114,0.0507,2.74e-06,164545.0,LE SSERAFIM
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,2023,88,100.012,0.596,0.658,0.176,0.0504,0.127,0.036,0.0,229478.0,Taylor Swift
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,2020,88,89.937,0.532,0.623,0.403,0.538,0.0925,0.0331,7.28e-05,261923.0,Taylor Swift
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",2017,88,103.019,0.617,0.635,0.446,0.0498,0.164,0.0317,1.44e-05,247160.0,The Chainsmokers
4lR8sYGMGZPvthF2yUfo7T,Smart,LE SSERAFIM,2024,87,113.076,0.799,0.675,0.594,0.115,0.0833,0.0465,0.0,166384.0,LE SSERAFIM
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,2020,87,118.051,0.68,0.826,0.644,0.0212,0.543,0.0309,1.24e-05,215627.0,The Weeknd
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,2017,87,95.05,0.599,0.448,0.168,0.163,0.106,0.0232,0.0,263400.0,Ed Sheeran
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,2017,87,95.977,0.825,0.652,0.931,0.581,0.0931,0.0802,0.0,233713.0,Ed Sheeran
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,2016,87,133.629,0.586,0.525,0.508,0.111,0.134,0.0615,0.0,260253.0,The Weeknd
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,2015,87,113.003,0.585,0.564,0.137,0.0671,0.135,0.0515,0.0,242253.0,The Weeknd
1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",2024,86,87.521,0.531,0.652,0.179,0.0524,0.162,0.0325,1.39e-06,244685.0,The Weeknd
3OJDtCdYs8QJnui708tEU3,Soltera,Shakira,2024,86,100.076,0.841,0.752,0.67,0.167,0.949,0.105,0.00046,214643.0,Shakira
74X2u8JMVooG2QbjRxXwR8,Perfect Night,LE SSERAFIM,2023,86,136.054,0.697,0.82,0.502,0.1,0.0631,0.0308,0.0,159080.0,LE SSERAFIM
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,2018,86,134.17,0.461,0.593,0.175,0.17,0.307,0.0356,0.0,228373.0,The Weeknd
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",2016,86,95.01,0.748,0.524,0.661,0.414,0.111,0.0338,0.0,244960.0,The Chainsmokers
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,Rihanna,2016,86,172.006,0.509,0.637,0.378,0.0717,0.0789,0.0471,1.08e-05,224000.0,Rihanna
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,"The Weeknd, Lana Del Rey",2016,86,89.965,0.715,0.47,0.426,0.353,0.104,0.0772,0.0923,111627.0,The Weeknd
3aAnwyBJY9OLNLqSgd4fZU,Deja Vu,TOMORROW X TOGETHER,2024,85,162.844,0.357,0.572,0.238,0.0811,0.145,0.069,0.0,171428.0,TOMORROW X TOGETHER
3CWq0pAKKTWb0K4yiglDc4,You're Losing Me (From The Vault),Taylor Swift,2023,85,102.984,0.747,0.391,0.195,0.529,0.111,0.052,0.003,277832.0,Taylor Swift
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,2023,85,149.921,0.776,0.817,0.515,0.18,0.146,0.0748,3.44e-05,154667.0,NewJeans
