track_id,track_name,artist_name,year,popularity,album_name,language,tempo,danceability,energy,valence,acousticness,liveness,speechiness,instrumentalness,duration_ms
0OA00aPt3BV10qeMIs3meW,Big Dawgs,"Hanumankind, Kalmi",2024,93,Big Dawgs,English,180.098,0.464,0.745,0.262,0.0235,0.363,0.161,0.0,190667.0
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,2020,91,After Hours,English,171.005,0.514,0.73,0.334,0.00146,0.0897,0.0598,9.54e-05,200040.0
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",2016,91,Starboy,English,186.003,0.679,0.587,0.486,0.141,0.137,0.276,6.35e-06,230453.0
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,2000,90,No Strings Attached,English,172.638,0.61,0.926,0.861,0.031,0.0821,0.0479,0.0012,200400.0
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,2022,89,Midnights,English,97.008,0.637,0.643,0.533,0.13,0.142,0.0519,1.8e-06,200690.0
4R2kfaDFhslZEMJqAFNpdd,cardigan,Taylor Swift,2020,89,folklore,English,130.033,0.613,0.581,0.551,0.537,0.25,0.0424,0.000345,239560.0
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,2024,88,EASY,Korean,165.004,0.744,0.7,0.602,0.189,0.114,0.0507,2.74e-06,164545.0
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,2023,88,1989 (Taylor's Version),English,100.012,0.596,0.658,0.176,0.0504,0.127,0.036,0.0,229478.0
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,2020,88,folklore,English,89.937,0.532,0.623,0.403,0.538,0.0925,0.0331,7.28e-05,261923.0
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",2017,88,Memories...Do Not Open,English,103.019,0.617,0.635,0.446,0.0498,0.164,0.0317,1.44e-05,247160.0
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,OneRepublic,2013,88,Native,English,122.016,0.664,0.705,0.477,0.0654,0.118,0.0382,0.0,257267.0
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,2012,88,Unorthodox Jukebox,English,143.994,0.726,0.698,0.867,0.049,0.309,0.0431,0.0,233478.0
4lR8sYGMGZPvthF2yUfo7T,Smart,LE SSERAFIM,2024,87,EASY,Korean,113.076,0.799,0.675,0.594,0.115,0.0833,0.0465,0.0,166384.0
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,2020,87,After Hours,English,118.051,0.68,0.826,0.644,0.0212,0.543,0.0309,1.24e-05,215627.0
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,2017,87,÷ (Deluxe),English,95.05,0.599,0.448,0.168,0.163,0.106,0.0232,0.0,263400.0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,2017,87,÷ (Deluxe),English,95.977,0.825,0.652,0.931,0.581,0.0931,0.0802,0.0,233713.0
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,2016,87,Starboy,English,133.629,0.586,0.525,0.508,0.111,0.134,0.0615,0.0,260253.0
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,2015,87,Beauty Behind The Madness,English,113.003,0.585,0.564,0.137,0.0671,0.135,0.0515,0.0,242253.0
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,2013,87,True,English,124.08,0.532,0.783,0.643,0.0038,0.161,0.0523,0.0012,247427.0
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,2012,87,Unorthodox Jukebox,English,72.795,0.612,0.28,0.387,0.932,0.088,0.0434,0.0,213827.0
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,2000,87,Hybrid Theory (Bonus Edition),English,105.143,0.556,0.864,0.4,0.00958,0.209,0.0584,0.0,216880.0
1VNWdmXSbaNrnWod10WIL0,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",2024,86,The Highlights (Deluxe),English,87.521,0.531,0.652,0.179,0.0524,0.162,0.0325,1.39e-06,244685.0
3OJDtCdYs8QJnui708tEU3,Soltera,Shakira,2024,86,Soltera,English,100.076,0.841,0.752,0.67,0.167,0.949,0.105,0.00046,214643.0
74X2u8JMVooG2QbjRxXwR8,Perfect Night,LE SSERAFIM,2023,86,Perfect Night,Korean,136.054,0.697,0.82,0.502,0.1,0.0631,0.0308,0.0,159080.0
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,2018,86,"My Dear Melancholy,",English,134.17,0.461,0.593,0.175,0.17,0.307,0.0356,0.0,228373.0
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",2016,86,Closer,English,95.01,0.748,0.524,0.661,0.414,0.111,0.0338,0.0,244960.0
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,Rihanna,2016,86,ANTI (Deluxe),English,172.006,0.509,0.637,0.378,0.0717,0.0789,0.0471,1.08e-05,224000.0
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,"The Weeknd, Lana Del Rey",2016,86,Starboy,English,89.965,0.715,0.47,0.426,0.353,0.104,0.0772,0.0923,111627.0
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,2014,86,The Days / Nights,English,125.983,0.527,0.835,0.654,0.0166,0.249,0.0433,0.0,176658.0
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,2012,86,Up All Night,English,124.99,0.726,0.787,0.888,0.009,0.0596,0.0737,0.0,199987.0
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"Eminem, Rihanna",2010,86,Recovery,English,86.989,0.749,0.925,0.641,0.241,0.52,0.227,0.0,263373.0
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",2005,86,"Oral Fixation, Vol. 2 (Expanded Edition)",English,100.024,0.778,0.824,0.758,0.284,0.405,0.0707,0.0,218093.0
3aAnwyBJY9OLNLqSgd4fZU,Deja Vu,TOMORROW X TOGETHER,2024,85,minisode 3: TOMORROW,Korean,162.844,0.357,0.572,0.238,0.0811,0.145,0.069,0.0,171428.0
3CWq0pAKKTWb0K4yiglDc4,You're Losing Me (From The Vault),Taylor Swift,2023,85,You're Losing Me (From The Vault),English,102.984,0.747,0.391,0.195,0.529,0.111,0.052,0.003,277832.0
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,2023,85,NewJeans 'Super Shy',Korean,149.921,0.776,0.817,0.515,0.18,0.146,0.0748,3.44e-05,154667.0
7KokYm8cMIXCsGVmUvKtqf,Karma,Taylor Swift,2022,85,Midnights,English,90.02,0.642,0.62,0.0969,0.0734,0.483,0.0666,0.0,204852.0
0mL82sxCRjrs3br407IdJh,Is There Someone Else?,The Weeknd,2022,85,Dawn FM,English,134.951,0.702,0.586,0.608,0.0388,0.156,0.0313,7.27e-05,199111.0
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,2021,85,Justice,English,153.96,0.601,0.741,0.441,0.185,0.415,0.0478,2.91e-05,153190.0
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,"The Weeknd, Gesaffelstein",2018,85,"My Dear Melancholy,",English,113.26,0.323,0.737,0.155,0.142,0.163,0.0338,0.000162,241067.0
37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,2016,85,Starboy,English,160.053,0.706,0.505,0.388,0.142,0.164,0.193,0.0,218880.0
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,2014,85,Ghost Stories,English,124.97,0.545,0.675,0.162,0.00617,0.209,0.0279,0.00197,267867.0
4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,One Direction,2013,85,Midnight Memories (Deluxe),English,121.07,0.6,0.663,0.286,0.225,0.119,0.0477,0.0,245493.0
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,2012,85,Skyfall,English,75.881,0.346,0.552,0.0789,0.417,0.114,0.0282,0.0,286480.0
6qn9YLKt13AGvpq9jfO8py,We Found Love,"Rihanna, Calvin Harris",2011,85,Talk That Talk,English,127.986,0.734,0.766,0.6,0.025,0.108,0.0383,0.00138,215227.0
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,2010,85,Loud (Japan Version),English,125.911,0.789,0.706,0.638,0.112,0.0586,0.0429,1.71e-05,235493.0
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,2003,85,Meteora,English,110.072,0.488,0.87,0.211,0.00353,0.484,0.0421,0.0,187520.0
7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna",2024,84,The Highlights (Deluxe),English,99.018,0.854,0.668,0.833,0.0604,0.382,0.2,8.39e-05,215467.0
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2023,84,1989 (Taylor's Version),English,77.983,0.629,0.413,0.306,0.345,0.0603,0.055,7.62e-05,180381.0
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",2023,84,Popular (Music from the HBO Original Series),English,99.022,0.854,0.674,0.848,0.0517,0.509,0.184,8.53e-05,215467.0
5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021,84,Red (Taylor's Version),English,93.023,0.631,0.518,0.205,0.274,0.088,0.0303,0.0,613027.0
1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor's Version),Taylor Swift,2021,84,Fearless (Taylor's Version),English,130.033,0.632,0.773,0.474,0.0623,0.0885,0.0346,0.0,231124.0
4pAl7FkDMNBsjykPXo91B3,Needed Me,Rihanna,2016,84,ANTI (Deluxe),English,110.898,0.671,0.314,0.296,0.11,0.0825,0.244,0.0,191600.0
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,The Weeknd,2015,84,Beauty Behind The Madness,English,107.949,0.705,0.769,0.583,0.113,0.105,0.0425,0.0,213520.0
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,2014,84,x (Deluxe Edition),English,107.989,0.614,0.379,0.201,0.607,0.0986,0.0476,0.000464,258987.0
6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,2011,84,Mylo Xyloto,English,139.631,0.449,0.585,0.212,0.0509,0.0833,0.0268,8.75e-05,278719.0
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,2010,84,Doo-Wops & Hooligans,English,109.021,0.635,0.841,0.424,0.0134,0.0622,0.0422,0.0,220734.0
49FYlytm3dAAraYgpoJZux,Umbrella,"Rihanna, JAY-Z",2008,84,Good Girl Gone Bad: Reloaded,English,174.028,0.583,0.829,0.575,0.00864,0.0426,0.134,0.0,275987.0
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")","Arijit Singh, Shreyas Puranik, Siddharth - Garima",2023,83,"Satranga (From ""ANIMAL"")",Hindi,89.48,0.273,0.405,0.534,0.735,0.189,0.0298,0.0,271169.0
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2023,83,1989 (Taylor's Version),English,109.994,0.793,0.512,0.0662,0.186,0.0889,0.0338,3.81e-05,146437.0
3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),Taylor Swift,2023,83,Speak Now (Taylor's Version),English,81.907,0.505,0.532,0.216,0.012,0.149,0.0265,0.0,353253.0
1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),Taylor Swift,2023,83,1989 (Taylor's Version),English,94.971,0.575,0.824,0.292,0.000418,0.0901,0.038,0.0214,231000.0
5XWlyfo0kZ8LF7VSyfS4Ew,Drama,aespa,2023,83,Drama - The 4th Mini Album,Korean,131.016,0.644,0.872,0.378,0.164,0.363,0.0417,0.0,214973.0
0DWdj2oZMBFSzRsi2Cvfzf,TQG,"KAROL G, Shakira",2023,83,MAÑANA SERÁ BONITO,English,90.123,0.587,0.647,0.686,0.619,0.106,0.327,0.0,197933.0
2p8IUWQDrpjuFltbdgLOag,After Hours,The Weeknd,2020,83,After Hours,English,108.959,0.664,0.572,0.143,0.0811,0.121,0.0305,0.00604,361027.0
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,2015,83,A Head Full of Dreams,English,90.027,0.491,0.693,0.412,0.211,0.325,0.0377,6.92e-06,258267.0
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,2015,83,Purpose (Deluxe),English,100.43,0.609,0.378,0.515,0.835,0.28,0.438,0.0,233720.0
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,2015,83,Purpose (Deluxe),English,99.947,0.655,0.76,0.409,0.0797,0.299,0.045,0.0,200787.0
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,2014,83,x (Deluxe Edition),English,78.998,0.781,0.445,0.591,0.474,0.184,0.0295,0.0,281560.0
7ySUcLPVX7KudhnmNcgY2D,S&M,Rihanna,2010,83,Loud (Japan Version),English,127.972,0.769,0.684,0.835,0.0105,0.0887,0.0411,0.000125,243600.0
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,2008,83,Good Girl Gone Bad: Reloaded,English,122.668,0.835,0.669,0.542,0.0336,0.0535,0.0643,6.92e-05,267080.0
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,1999,83,Millennium,English,99.039,0.689,0.694,0.482,0.257,0.148,0.027,0.0,213307.0
1xsYj84j7hUDDnTTerGWlH,Dream On,Aerosmith,1973,83,Aerosmith,English,78.031,0.392,0.476,0.234,0.397,0.309,0.0249,0.000163,267597.0
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),Taylor Swift,2023,82,1989 (Taylor's Version),English,96.012,0.737,0.725,0.755,0.0976,0.174,0.0641,0.0,231833.0
1OG1NoKpZZLrMqMYCk9m84,LALALALA,Stray Kids,2023,82,ROCK-STAR,Korean,125.976,0.705,0.849,0.609,0.0647,0.653,0.0493,0.0,182224.0
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,2023,82,NewJeans 'OMG',Korean,126.956,0.804,0.771,0.739,0.357,0.108,0.0433,3.07e-06,212253.0
4D7BCuvgdJlYvlX5WlN54t,"You're On Your Own, Kid",Taylor Swift,2022,82,Midnights,English,120.041,0.696,0.396,0.38,0.401,0.125,0.0656,5.2e-06,194207.0
3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor's Version),Taylor Swift,2021,82,Love Story (Taylor's Version),English,119.082,0.626,0.79,0.416,0.135,0.0989,0.0311,3.97e-06,235767.0
6bnF93Rx87YqUBLSgjiMU8,Heartless,The Weeknd,2020,82,After Hours,English,170.062,0.537,0.746,0.252,0.0236,0.156,0.15,1.01e-06,198267.0
1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",2020,82,After Hours (Deluxe),English,118.091,0.65,0.825,0.593,0.0215,0.0936,0.0325,2.44e-05,191014.0
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya",2016,82,Don't Let Me Down,English,159.803,0.532,0.869,0.422,0.157,0.136,0.172,0.00508,208373.0
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,2016,82,Starboy,English,133.249,0.582,0.525,0.51,0.111,0.134,0.0627,0.0,260253.0
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,2015,82,Stories,English,127.999,0.579,0.736,0.613,0.31,0.198,0.0527,0.0,230613.0
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,2010,82,Doo-Wops & Hooligans,English,145.867,0.498,0.59,0.0784,0.511,0.107,0.032,0.0,217867.0
6epn3r7S14KUqlReYr77hA,Baby,"Justin Bieber, Ludacris",2010,82,My World 2.0,English,65.043,0.728,0.859,0.535,0.0401,0.111,0.137,0.0,214240.0
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,Billy Joel,1983,82,An Innocent Man,English,128.993,0.701,0.944,0.792,0.0755,0.601,0.0455,0.0,197707.0
7J1uxwnxfQLu4APicE5Rnj,Billie Jean,Michael Jackson,1982,82,Thriller,English,117.002,0.932,0.457,0.884,0.0173,0.0414,0.0541,0.0436,294227.0
1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version),Taylor Swift,2023,81,1989 (Taylor's Version),English,140.061,0.581,0.672,0.514,0.0411,0.118,0.0739,9.35e-05,220433.0
5ZLkihi6DVsHwDL3B8ym1t,One Love,Shubh,2023,81,One Love,Unknown,144.926,0.848,0.512,0.881,0.284,0.101,0.118,0.00645,159222.0
7mpdNiaQvygj2rHoxkzMfa,Bite Me,ENHYPEN,2023,81,DARK BLOOD,Korean,104.972,0.795,0.781,0.687,0.285,0.108,0.141,0.0,157532.0
6rdkCkjk6D12xRpdMXy0I2,New Jeans,NewJeans,2023,81,NewJeans 'Super Shy',Korean,134.014,0.807,0.721,0.532,0.51,0.115,0.0508,0.00216,108987.0
56v8WEnGzLByGsDAXDiv4d,ETA,NewJeans,2023,81,NewJeans 2nd EP 'Get Up',Korean,134.971,0.812,0.749,0.841,0.108,0.0599,0.0397,0.0,151373.0
3qoftcUZaUOncvIYjFSPdE,Bejeweled,Taylor Swift,2022,81,Midnights,English,163.999,0.696,0.559,0.433,0.0618,0.0887,0.0693,5.58e-05,194166.0
5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,2022,81,Midnights,English,96.985,0.733,0.436,0.0976,0.258,0.157,0.08,0.000573,202396.0
3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,Taylor Swift,2022,81,Midnights,English,139.865,0.643,0.363,0.23,0.69,0.115,0.0767,5.17e-05,174783.0
3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,2022,81,Ditto,Korean,133.854,0.814,0.641,0.183,0.027,0.0993,0.111,0.0,185507.0
0a4MMyCrzT0En247IhqZbD,Hype Boy,NewJeans,2022,81,NewJeans 1st EP 'New Jeans',Korean,99.976,0.593,0.935,0.783,0.268,0.286,0.225,0.0,179027.0
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,2021,81,Easy On Me,English,141.981,0.604,0.366,0.13,0.578,0.133,0.0282,0.0,224695.0
77sMIMlNaSURUAXq5coCxE,Fearless (Taylor's Version),Taylor Swift,2021,81,Fearless (Taylor's Version),English,100.118,0.569,0.741,0.43,0.0122,0.333,0.0282,0.0,241592.0
6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor's Version),Taylor Swift,2021,81,Fearless (Taylor's Version),English,119.054,0.627,0.792,0.415,0.13,0.0845,0.031,3.97e-06,235767.0
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",2020,81,folklore,English,75.602,0.298,0.38,0.152,0.778,0.11,0.0287,5.62e-05,285634.0
2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,Taylor Swift,2020,81,folklore,English,119.845,0.559,0.31,0.46,0.881,0.106,0.0338,0.0,190898.0
0lx2cLdOt3piJbcaXIV74f,willow,Taylor Swift,2020,81,evermore,English,81.112,0.392,0.574,0.529,0.833,0.145,0.17,0.00179,214707.0
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,2020,81,BE,Korean,114.044,0.746,0.765,0.737,0.0112,0.0936,0.0993,0.0,199054.0
0UHB9METy4VCXNgkcGqHqS,Kiss It Better,Rihanna,2016,81,ANTI (Deluxe),English,95.0,0.619,0.806,0.877,0.272,0.0671,0.0483,0.0,253080.0
